GA 1;;;;;;;;;;;;;;;;;;;;;
iteration no;robot no;frequency [Hz];length [mm];dye [%mol];thickness [Âµm];curl length [mm];laser power [W];right side [down 0. up 1];waveplate angle [deg];L1 [cm/min];L2 [cm/min];L3 [cm/min];L4 [cm/min];L5 [cm/min];R1 [cm/min];R2 [cm/min];R3 [cm/min];R4 [cm/min];R5 [cm/min];fitness function (max average);params
1;1;0.6;18;0.2;90;3;0.4;0;52.5;0.03;0.02;0.02;0.02;0.02;-0.03;-0.03;-0.03;-0.03;-0.03;0.03;0600mHz_18mm_0%2_90um_3mm_0500mW_0_082deg
1;2;3;18;0.2;50;1;0.4;1;0;0;0;0;0;0;0;0;0;-0.01;0;0.002;3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg
1;3;1.7;18;0.2;50;3;1.6;1;37.5;0.14;0.19;0.23;0.15;0.18;-0.2;-0.21;-0.15;-0.14;-0.18;0.178;1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg
1;4;0.2;6;0.2;90;3;1.6;1;52.5;0.04;0.01;0.03;-0.05;0.04;-0.03;-0.11;-0.01;-0.01;0.03;0.026;0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg
1;5;0.5;12;1;50;1;2.4;1;52.5;-1.11;-0.74;-1.11;-1.31;-1.55;1.28;1;1.54;1.04;0.77;1.164;0500mHz_12mm_1%0_50um_1mm_3000mW_1_082deg
1;6;0.7;6;0.2;90;1;3.2;0;7.5;0;0.04;0.3;0.35;0.3;0.55;0.62;0.67;0.58;0.66;0.616;0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg
1;7;4.3;6;0.2;50;2;2.4;1;75;0.03;0.14;0.01;0;0.04;-0.27;-0.18;-0.21;-0.11;-0.04;0.162;4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg
1;8;2.5;18;0.2;50;3;0.4;0;7.5;0;0;0.01;-0.01;0;0;-0.06;0;0;-0.08;0.028;2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg
2;1;1.8;18;0.2;90;1;3.2;0;37.5;0;0;0.08;0.07;0.04;-0.05;-0.12;-0.04;-0.05;-0.03;0.058;1800mHz_18mm_0%2_90um_1mm_4000mW_0_067deg
2;2;1.7;6;0.2;50;1;1.6;1;7.5;0;0;0.06;0.09;0.02;0;-0.06;0;0;-0.01;0.034;1700mHz_06mm_0%2_50um_1mm_2000mW_1_037deg
2;3;0.6;18;1;90;1;2.4;1;60;0.48;1.06;0.16;0.69;1.17;0.16;1.1;1.63;-0.05;1.42;0.852;0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg
2;4;3.5;12;0.2;50;3;0.4;0;52.5;0;0;0.01;0.02;0.01;-0.04;-0.01;0;0;0;0.01;3500mHz_12mm_0%2_50um_3mm_0500mW_0_082deg
2;5;0.7;12;0.2;50;1;1.6;0;52.5;0.01;-0.04;0.02;-0.04;0.01;-0.19;-0.14;-0.22;-0.02;-0.14;0.142;0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg
2;6;3.6;6;1;90;1;2.4;1;7.5;0.67;0.68;0.31;0.01;0;0;0;0;0;0;0.334;3600mHz_06mm_1%0_90um_1mm_3000mW_1_037deg
2;7;0.6;18;0.2;90;3;1.6;0;37.5;0.05;0.02;0.08;0.16;0.49;-0.19;-0.1;-0.09;-0.19;-0.54;0.222;0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg
2;8;1.7;18;0.2;90;3;0.4;1;7.5;0;0;0.02;0;0;-0.07;0;-0.01;-0.04;-0.06;0.036;1700mHz_18mm_0%2_90um_3mm_0500mW_1_037deg
3;1;0.6;6;0.2;90;1;2.4;0;60;0.12;0.1;0.21;0.14;0.18;0.02;0;0.23;0.01;0.03;0.15;0600mHz_06mm_0%2_90um_1mm_3000mW_0_090deg
3;2;0.7;18;0.2;90;3;3.2;1;7.5;3.43;4.4;3.74;4.2;2.83;-0.97;-0.48;-0.74;0.03;-0.64;3.72;0700mHz_18mm_0%2_90um_3mm_4000mW_1_037deg
3;3;1.7;18;1;90;1;2.4;1;37.5;-0.11;0;0.04;-0.16;0;-0.04;0.01;0;0;0.13;0.046;1700mHz_18mm_1%0_90um_1mm_3000mW_1_067deg
3;4;3.6;6;0.2;50;2;1.6;1;7.5;0;0;0;0;0.04;0;0;0;-0.01;0;0.008;3600mHz_06mm_0%2_50um_2mm_2000mW_1_037deg
3;5;0.6;18;1;50;1;0.4;1;60;0;0;0;0;0;-0.01;0;0;0;0;0.002;0600mHz_18mm_1%0_50um_1mm_0500mW_1_090deg
3;6;0.5;12;0.2;90;1;2.4;1;52.5;-0.09;-0.13;0;-0.04;-0.11;0.05;0.01;0.07;0.01;0.08;0.074;0500mHz_12mm_0%2_90um_1mm_3000mW_1_082deg
3;7;0.6;6;1;90;1;2.4;1;7.5;1.51;0.99;0.93;0.72;0.97;2.15;2.06;2.16;2.35;1.03;1.95;0600mHz_06mm_1%0_90um_1mm_3000mW_1_037deg
3;8;3.6;18;0.2;50;1;2.4;1;60;0.01;0.06;0.07;0;0.01;0;-0.01;0;0;0;0.03;3600mHz_18mm_0%2_50um_1mm_3000mW_1_090deg
4;1;0.6;6;0.2;90;1;1.6;1;52.5;0;0;-0.02;0.01;0;-0.01;0.03;0.02;-0.04;0;0.002;0600mHz_06mm_0%2_90um_1mm_2000mW_1_082deg
4;2;0.6;18;1;90;3;0.8;0;7.5;-0.02;0.06;0.1;0.03;-0.01;-0.06;0.06;0.07;-0.02;-0.02;0.032;0600mHz_18mm_1%0_90um_3mm_1000mW_0_037deg
4;3;0.7;18;1;50;1;3.2;1;7.5;-5.22;-6.54;-2.68;-2.64;-3.97;2.94;2.74;3.19;2.49;2.65;4.21;0700mHz_18mm_1%0_50um_1mm_4000mW_1_037deg
4;4;0.5;12;0.2;90;1;0.8;1;52.5;0;0;0;0.01;0;0.01;0;0.03;-0.01;0;0.006;0500mHz_12mm_0%2_90um_1mm_1000mW_1_082deg
4;5;0.6;6;0.2;90;1;3.2;1;7.5;0.04;0;0;0.01;0.09;0.11;-0.04;0.07;0.01;0.16;0.062;0600mHz_06mm_0%2_90um_1mm_4000mW_1_037deg
4;6;0.7;18;1;90;1;3.2;1;7.5;-1.17;-1.04;-1.1;-1.04;-0.86;2.1;2.02;2.85;2.29;3.78;2.608;0700mHz_18mm_1%0_90um_1mm_4000mW_1_037deg
4;7;0.6;18;1;90;1;1.6;1;52.5;0.03;0.09;0.03;0.15;-0.14;-0.28;-0.05;0.09;0.34;0.02;0.032;0600mHz_18mm_1%0_90um_1mm_2000mW_1_082deg
4;8;0.5;12;1;50;3;2.4;1;60;0.79;-1.07;-0.39;-0.55;-1.16;-0.14;0.09;-0.1;-0.14;-1.36;0.476;0500mHz_12mm_1%0_50um_3mm_3000mW_1_090deg
5;1;0.7;18;0.2;50;3;3.2;1;7.5;0.63;0.78;0.71;0.45;0.45;-0.59;-0.55;-0.46;-0.59;-0.61;0.604;0700mHz_18mm_0%2_50um_3mm_4000mW_1_037deg
5;2;0.7;6;1;90;1;1.2;1;7.5;-0.03;-0.07;-0.23;-0.08;-0.06;0.22;0.02;0.18;0.45;-0.13;0.148;0700mHz_06mm_1%0_90um_1mm_1500mW_1_037deg
5;3;0.7;18;1;90;3;3.2;1;7.5;-3.14;-3.31;-3.81;-2.74;-4.11;-0.34;-1.96;-1.59;-2.3;2.36;3.422;0700mHz_18mm_1%0_90um_3mm_4000mW_1_037deg
5;4;1.1;18;1;90;1;3.2;1;7.5;-1.19;-1.2;-1.36;-0.74;-1.07;0.35;0.3;0.39;-0.03;-0.12;1.112;1100mHz_18mm_1%0_90um_1mm_4000mW_1_037deg
5;5;2.4;18;1;90;1;2.4;1;60;0;0;0.01;0;-0.02;0;0;-0.03;0;0;0.006;2400mHz_18mm_1%0_90um_1mm_3000mW_1_090deg
5;6;0.7;18;1;90;2;3.2;1;7.5;-9.61;-10.79;-9.55;-9.52;-10.65;0.93;1.95;0.44;0.24;1.89;10.024;0700mHz_18mm_1%0_90um_2mm_4000mW_1_037deg
5;7;0.7;18;0.2;50;1;3.2;1;7.5;-0.06;-0.05;0.14;0;-0.14;0.28;0.01;0.43;0.54;0.07;0.266;0700mHz_18mm_0%2_50um_1mm_4000mW_1_037deg
5;8;0.7;6;0.2;90;1;3.2;1;7.5;0.04;-0.07;0.13;0;0.05;0.09;0.03;-0.18;-0.24;0.07;0.046;0700mHz_06mm_0%2_90um_1mm_4000mW_1_037deg
;;;;;;;;;;;;;;;;;;;;;
GA 2;;;;;;;;;;;;;;;;;;;;;
1;1;0.4;18;1;50;2;0.4;1;15;0.01;0.01;0.01;-0.02;0.02;-0.01;-0.07;-0.05;0;-0.07;0.04;0400mHz_18mm_1%0_50um_2mm_0500mW_1_045deg
1;2;3.1;18;0.2;90;3;0.8;1;82.5;0.37;0.15;-0.03;0.06;0.22;0.01;-0.01;-0.02;0;-0.03;0.154;3100mHz_18mm_0%2_90um_3mm_1000mW_1_112deg
1;3;2.2;18;0.2;90;2;2.8;0;0;0.22;0.08;0.05;-0.02;0.04;-0.12;-0.05;-0.27;0.04;-0.03;0.086;2200mHz_18mm_0%2_90um_2mm_3500mW_0_030deg
1;4;3.1;12;1;50;2;1.6;1;30;0.06;-0.2;-0.1;-0.24;-0.21;0.37;0.06;0.37;0.26;0.46;0.304;3100mHz_12mm_1%0_50um_2mm_2000mW_1_060deg
1;5;0.9;18;1;50;3;3.2;0;60;-3.47;0.22;-0.39;1.39;-2.09;1.68;1.84;1.68;2.94;0.54;1.736;0900mHz_18mm_1%0_50um_3mm_4000mW_0_090deg
1;6;1.5;18;1;50;2;2.8;1;60;1.09;1.06;1.01;0.64;0.46;-0.47;-1.3;-1.5;-1.12;-1.66;1.21;1500mHz_18mm_1%0_50um_2mm_3500mW_1_090deg
1;7;3.9;6;1;90;1;0.4;0;0;0;0;0;0;0;-0.01;0;0;0;0;0.002;3900mHz_06mm_1%0_90um_1mm_0500mW_0_030deg
1;8;4.3;18;0.2;50;2;1.2;1;67.5;0.06;0.08;0.09;0.05;0.09;-0.12;-0.09;-0.03;-0.11;-0.1;0.09;4300mHz_18mm_0%2_50um_2mm_1500mW_1_097deg
2;1;0.9;18;1;50;2;2.8;0;60;-2.69;-3.26;-3.3;-3.17;-2.47;2.64;2.57;1.65;1.6;1.18;2.978;0900mHz_18mm_1%0_50um_2mm_3500mW_0_090deg
2;2;1.5;18;1;50;3;2.4;1;82.5;-0.03;-0.35;-0.61;-0.13;0.08;-0.2;0.39;0.81;-0.08;-0.03;0.208;1500mHz_18mm_1%0_50um_3mm_3000mW_1_112deg
2;3;3.1;6;0.2;50;3;1.6;1;82.5;0.01;-0.02;0.11;0.13;0.01;-0.22;-0.15;-0.28;-0.18;-0.03;0.172;3100mHz_06mm_0%2_50um_3mm_2000mW_1_112deg
2;4;3.1;12;1;90;3;0.8;1;30;0.23;0.05;0.15;0.12;0.13;0;-0.03;-0.01;-0.02;0;0.136;3100mHz_12mm_1%0_90um_3mm_1000mW_1_060deg
2;5;3.1;18;1;50;3;0.8;1;60;-0.01;-0.04;0;-0.03;0.02;0;-0.01;0;0;-0.01;0.012;3100mHz_18mm_1%0_50um_3mm_1000mW_1_090deg
2;6;1.5;18;0.2;50;1;2.8;1;82.5;0.07;0.01;0.01;0.06;0.03;-0.09;-0.08;-0.11;-0.06;-0.06;0.08;1500mHz_18mm_0%2_50um_1mm_3500mW_1_112deg
2;7;1.9;18;1;50;2;3.2;0;67.5;0.15;-0.28;0.36;0.34;0.12;-0.85;-0.77;-0.51;0.32;0.28;0.306;1900mHz_18mm_1%0_50um_2mm_4000mW_0_097deg
2;8;4.3;18;1;50;3;1.2;1;60;0.2;0;0.03;-0.01;0;-0.04;0;-0.01;0;-0.01;0.044;4300mHz_18mm_1%0_50um_3mm_1500mW_1_090deg
3;1;0.9;12;0.2;50;2;1.6;0;60;0.01;0;0;0.01;0.01;-0.06;0;0;0;-0.01;0.014;0900mHz_12mm_0%2_50um_2mm_2000mW_0_090deg
3;2;3.1;18;0.2;50;3;3.2;1;30;0.16;0.15;0.02;0.2;0.14;-0.22;-0.56;-0.33;-0.26;-0.33;0.34;3100mHz_18mm_0%2_50um_3mm_4000mW_1_060deg
3;3;0.9;6;0.2;50;3;2.8;1;82.5;0.02;0.4;0.46;0.75;0.73;-0.11;-0.21;-0.07;-0.17;-0.15;0.472;0900mHz_06mm_0%2_50um_3mm_3500mW_1_112deg
3;4;3.1;18;0.2;90;2;1.6;0;60;0.22;0.03;0.02;0;0.04;-0.01;-0.21;-0.12;-0.18;-0.01;0.106;3100mHz_18mm_0%2_90um_2mm_2000mW_0_090deg
3;5;0.9;18;1;50;3;2.8;1;7.5;-2.47;-2.25;-0.64;-0.79;-0.74;4.62;1.2;2.4;2.3;1.8;2.464;0900mHz_18mm_1%0_50um_3mm_3500mW_1_037deg
3;6;1.5;18;1;90;2;3.2;0;60;-1.12;-1.4;-1.33;-1.44;-1.37;-0.06;0.03;0.23;0.18;0.1;1.332;1500mHz_18mm_1%0_90um_2mm_4000mW_0_090deg
3;7;1.6;18;1;50;2;1.6;1;30;-0.06;-0.07;0;0.15;0.01;-0.36;-0.33;-0.28;-0.53;-0.46;0.392;1600mHz_18mm_1%0_50um_2mm_2000mW_1_060deg
3;8;3.5;12;1;50;2;2.8;1;60;-1.42;-0.58;-0.09;0.01;-0.08;0;-0.86;-0.54;-0.77;-0.41;0.516;3500mHz_12mm_1%0_50um_2mm_3500mW_1_090deg
4;1;0.9;12;1;50;3;2.8;1;60;-0.32;0.25;0.67;0.01;0.02;3.33;4.16;3.28;3.23;1.75;3.15;0900mHz_12mm_1%0_50um_3mm_3500mW_1_090deg
4;2;3.5;12;1;50;2;2.8;0;60;0.26;-0.11;0.03;0.45;0.41;-0.03;-0.04;0.03;0.62;0.44;0.208;3500mHz_12mm_1%0_50um_2mm_3500mW_0_090deg
4;3;1.5;18;1;90;2;3.2;1;60;-1.51;-1.85;-2.23;-2.29;-2.15;0.37;0.69;0.58;0.87;0.9;2.006;1500mHz_18mm_1%0_90um_2mm_4000mW_1_090deg
4;4;1.5;18;1;50;1;3.2;0;60;1.28;0.42;0.27;0.02;0;-0.2;-0.05;1;-0.01;0.03;0.398;1500mHz_18mm_1%0_50um_1mm_4000mW_0_090deg
4;5;3.5;6;1;50;2;3.2;0;60;-1.76;0.55;0.23;-0.06;0.19;-0.28;-0.06;-0.18;0;-0.11;0.17;3500mHz_06mm_1%0_50um_2mm_4000mW_0_090deg
4;6;1.5;12;1;90;2;2.8;0;60;-0.5;-0.23;0.19;-0.08;-0.74;0.27;0.11;0.02;-0.4;0.24;0.272;1500mHz_12mm_1%0_90um_2mm_3500mW_0_090deg
4;7;3.3;18;1;50;3;2.8;0;7.5;0.22;-0.23;-1.43;-1.69;-0.36;-4.55;-4.14;-4.04;-4.11;-4.58;4.284;3300mHz_18mm_1%0_50um_3mm_3500mW_0_037deg
4;8;0.9;18;1;50;2;2.4;1;60;-0.56;-0.58;-0.8;-0.83;-0.77;0.51;-0.3;0.24;0.18;-0.51;0.708;0900mHz_18mm_1%0_50um_2mm_3000mW_1_090deg
5;1;3.3;18;0.2;50;3;2;1;7.5;0.42;0.51;0.01;0.48;0.36;-0.29;-0.32;-0.35;-0.3;-0.13;0.356;3300mHz_18mm_0%2_50um_3mm_2500mW_1_037deg
5;2;0.9;18;1;50;3;2.8;0;7.5;0.91;-0.68;0.47;0.05;-0.01;1.8;1.3;0.96;0.87;0.07;1;0900mHz_18mm_1%0_50um_3mm_3500mW_0_037deg
5;3;0.9;18;1;50;2;2.8;0;7.5;-3.37;-3.39;-3.76;-3.82;-3.69;4.56;5.17;5.02;5.19;5.22;5.032;0900mHz_18mm_1%0_50um_2mm_3500mW_0_037deg
5;4;0.9;18;0.2;50;3;2.8;1;22.5;0.29;0.43;0.18;0.21;0.31;-0.25;-0.25;-0.56;-0.31;-0.28;0.33;0900mHz_18mm_0%2_50um_3mm_3500mW_1_052deg
5;5;0.9;12;0.2;50;3;2.8;0;7.5;0.17;-0.06;0.15;-0.02;0.11;-0.3;-0.35;-0.43;-0.37;-0.73;0.436;0900mHz_12mm_0%2_50um_3mm_3500mW_0_037deg
5;6;3.3;18;1;50;1;2.8;1;60;0.06;0;0;0;0;0;0;0;0;-0.01;0.012;3300mHz_18mm_1%0_50um_1mm_3500mW_1_090deg
5;7;0.9;12;1;50;3;2;0;7.5;2.02;2.53;2.01;1.85;1.52;-0.18;-0.24;-0.07;-0.01;-0.14;1.986;0900mHz_12mm_1%0_50um_3mm_2500mW_0_037deg
